star_id,spectral_type,stellar_radius_sr,stellar_mass_sm,stellar_teff_k,stellar_log_g,stellar_luminosity,stellar_metallicity,stellar_rot_period_d,stellar_noise_ppm,label,planet_radius_re,rp_rs_ratio,orbital_period_d,semi_major_au,eccentricity,inclination_deg,impact_parameter,transit_depth_ppm,transit_duration_hr,n_transits_observed,orbital_velocity_kms,transit_snr,planet_eq_temp_k,flux_variability_index,log_period,log_snr
STR-000436,F,1.3278056192536014,1.3983910418183352,6912.1005606324725,4.323038427268827,3.6126140106442066,-0.178,21.07,250.66,0,,,,,,,2.1830375806796267,22.901432424007623,0.15530343750336753,0.0,,0.7308749790565954,,0.0914,0.0,0.5486
STR-007250,K,0.9124611269184895,0.7082359072794902,4533.876775747147,4.352924215571716,0.2985789686126758,-0.067,16.43,236.22,0,,,34.83396969389345,,,,1.3263535194657579,2510.1339907655906,13.584701350449537,0.0,,4.51310546485075,,10.6263,3.5789,1.7071
STR-005589,K,0.6841648638053169,0.716613818440921,4466.6202158680235,4.652811363275857,0.1462804672725054,0.083,39.55,162.24,1,5.237,0.07174,13.4417,0.08905186802024061,0.4224,89.023,0.5399,5076.49062917809,2.646655927065103,56.0,79.732,235.80806202174122,503.8,31.29,2.6701,5.4672
STR-011770,B,4.403349693956186,9.49978327736568,22146.527055702158,4.042372359342001,4379.887859772244,-0.056,15.55,615.27,0,,,,,,,1.3269982234835291,20.652450370104383,0.022175418730959146,0.0,,1.2619563421225233,,0.0336,0.0,0.8162
STR-003949,G,0.9274138222364542,0.974574123925676,5647.596421871832,4.606604262077119,0.7534807013379717,0.194,9.44,268.57,1,1.773,0.01801,7.8142,0.07628141934674695,0.016,88.545,0.479,334.2913515153882,,46.0,110.276,7.598187778576257,839.8,1.2447,2.1764,2.1516
STR-009519,G,1.1745549871779668,0.9228330134196668,6374.379813120843,4.203896867084237,1.8615503732159795,-0.403,33.94,216.82,1,1.466,0.01174,11.1392,0.09429136932061684,0.1898,86.963,0.9625,127.72387615249751,1.33629405716132,75.0,94.411,4.81020767874567,983.4,0.5891,2.4964,1.7596
STR-008067,G,1.0557815773657884,1.0045819717357087,5633.059210307248,4.3558223567861765,0.8229289508413694,0.072,15.43,227.54,0,,,,,,,2.758961695180669,23.251955336340203,0.7145981604643656,0.0,,1.3626175760794375,,0.1022,0.0,0.8598
STR-004037,K,0.7271328362096087,0.8308178358591956,4734.048996980317,4.664353159019341,0.25387116169876234,-0.043,10.06,257.16,0,,,,,,,2.073347456357448,7.1460201198424205,0.11518642040256674,0.0,,1.292246061644212,,0.0278,0.0,0.8295
STR-006679,G,0.8794045761933197,1.1008549710933293,5552.130174098065,4.671421379226934,0.6683789923801631,0.15,29.33,203.08,1,3.8,0.03938,2.8439,0.03964073062074714,0.0218,88.043,0.3275,1338.826522471602,2.3020407496732433,344.0,150.914,140.80807229139313,1187.5,6.5926,1.3465,4.9545
STR-010309,G,1.0598050062028588,1.0221527653874949,5464.059427677312,4.241598273125946,0.9721539400232863,0.113,12.17,289.76,0,,,,,,,1.1709815930674958,30.4111955254273,0.006324233999154467,0.0,,2.4671209056075787,,0.105,0.0,1.2433
STR-001895,K,0.9447590509803144,0.7692277164372914,4289.275671947011,4.26840488008412,0.2880210037968619,0.338,19.64,183.45,0,,,21.364938831658034,,,,0.5326057843734388,17382.634819339513,6.36949910848256,0.0,,11.501075095266057,,94.7541,3.1075,2.5258
STR-005927,K,0.6302001077126933,0.7545978506608221,4404.3707433822465,4.60269360535996,0.14491966947621182,-0.437,22.89,177.87,0,,,,,,,1.9270854328752156,2.5870520907811256,0.7858533810495725,0.0,,0.6343934222584593,,0.0145,0.0,0.4913
STR-010595,K,0.7248281309895452,0.7677999995679231,4519.102201228402,4.7860865494135405,0.18236436670794506,0.053,18.77,250.97,0,,,,,,,2.657733849447428,26.726276875398963,0.38864278504493555,0.0,,0.19342437886753036,,0.1065,0.0,0.1768
STR-001727,M,0.4292249213896174,0.2834322819495749,3254.674418081778,4.500148586923653,0.01913527080154534,0.392,19.75,180.93,0,,,,,,,2.594710103684937,8.388417514883187,0.12996145242446297,0.0,,0.44638996911022893,,0.0464,0.0,0.3691
STR-001725,F,1.4389950293696177,1.1117689917816163,6741.686991977999,4.109843385288248,4.049491462404559,0.051,39.77,212.79,0,,,43.25054726340293,,,,1.2117228913919758,17829.636206681582,,0.0,,5.040526439748133,,83.7898,3.7899,1.7985
STR-010120,A,2.1227258999996037,2.4197413645520705,8475.309424922401,4.304959995731992,22.072357237917995,0.63,17.83,272.31,1,17.638,0.07683,3.5185,0.06716593656428754,0.0773,89.935,0.0072,5845.484693691646,4.7688568214346985,218.0,191.883,321.6691785811392,2327.4,21.4663,1.5082,5.7766
STR-009340,K,0.9215709789107329,0.713429807613967,4474.497629646055,4.190397994100946,0.3180391873109473,0.038,31.64,187.82,0,,,,,,,2.680705691179669,6.646996148524029,0.671516271084325,0.0,,1.1611342670868148,,0.0354,0.0,0.7706
STR-010487,M,0.4217299834892484,0.31806874388424083,3471.521297064906,4.659545215883605,0.023252549998568135,0.175,22.51,162.42,0,,,,,,,2.2713054215402986,40.16671122959238,0.7915574649946673,0.0,,0.5739102600533448,,0.2473,0.0,0.4536
STR-005108,K,0.9589137860867217,0.8375045049666215,4549.793458802712,4.379135354032806,0.344552444928925,0.016,53.23,173.46,0,,,,,,,1.6411864942374137,15.197067561303989,0.3780144454460904,0.0,,0.49153858207060264,,0.0876,0.0,0.3998
STR-004161,F,1.1916246562692405,1.35574455683104,6799.515735399319,4.382869731493973,2.586860021498855,-0.038,16.78,276.1,1,2.707,0.0208,8.5554,0.09354819566406337,0.0157,89.39,0.1715,421.8642586347121,3.975622631004937,135.0,113.683,15.534942495543557,1142.0,1.5279,2.2571,2.8055
STR-001519,M,0.3844647602093395,0.41304424940145223,3404.1607305643643,4.916266327553726,0.018385264996435707,-0.47,22.53,176.72,0,,,45.33652005425474,,,,0.7453467626003194,15683.752067425068,10.442016004071892,0.0,,11.541709006144064,,88.7492,3.8359,2.5291
STR-005171,G,0.9339516903652743,0.9042598695504481,5493.63731295648,4.360438184828377,0.7812138850523084,,31.57,198.13,0,,,,,,,1.7773236492899813,22.605231330774465,0.5384379611976716,0.0,,0.6783115242138313,,0.1141,0.0,0.5178
STR-003607,G,1.0305154022956038,1.0467089149779174,5725.710116641323,4.461898546242521,0.9927208936487527,-0.138,37.13,235.15,1,3.086,0.02714,5.6962,0.05943878043421825,0.0297,83.762,1.4299,682.999603586033,0.0,169.0,121.808,38.77869625245214,1036.8,2.9045,1.9015,3.6833
STR-010763,G,0.9358680572715422,1.0081009400266054,5868.750039778159,4.6179392279454605,0.9124488938404327,-0.313,35.03,234.49,0,,,,,,,1.845806569035663,34.04350788010258,0.50989161780296,0.0,,0.7380010404896298,,0.1452,0.0,0.5527
STR-008233,G,1.0682998261917904,0.9770393085400387,5696.480629800694,4.434207934400355,1.075132551865129,-0.074,33.89,227.39,0,,,,,,,2.1742318602049435,25.81222551116018,0.07858641855493706,0.0,,0.690719578467905,,0.1135,0.0,0.5252
